  step       loss           lr         梯度範數            秒
  2580     2.8473    4.373e-04       0.3777         68.3
  2600     2.8703    4.248e-04       0.3833         68.8
  2620     2.9356    4.128e-04       0.3846         69.3
  2640     2.8899    4.014e-04       0.3788         69.9
  2660     3.0317    3.905e-04       0.3859         70.4
  2680     2.9982    3.803e-04       0.3797         70.9
  2700     2.9612    3.707e-04       0.3812         71.4
  2720     2.8601    3.616e-04       0.3795         72.0
  2740     2.8186    3.532e-04       0.3771         72.5
  2760     2.8810    3.454e-04       0.3847         73.0
  2780     2.8762    3.382e-04       0.3937         73.5
  2800     2.8749    3.316e-04       0.3913         74.1
  2820     2.8595    3.256e-04       0.3882         74.6
  2840     2.7905    3.202e-04       0.3835         75.1
  2860     2.8363    3.155e-04       0.3912         75.6
  2880     2.8959    3.114e-04       0.3857         76.2
  2900     2.8918    3.079e-04       0.3880         76.7
  2920     2.8023    3.051e-04       0.3922         77.2
  2940     2.7547    3.029e-04       0.3803         77.8
  2960     2.8888    3.013e-04       0.3887         78.3
  2980     2.7840    3.003e-04       0.3890         78.8
  3000     2.7806    3.000e-04       0.3886         79.4
